,ID,MAASQ1_1_6,MAASQ2_1_6,MAASQ3_1_6,MAASQ4_1_6,MAASQ5_1_6,MAASQ6_1_6,MAASQ7_1_6,MAASQ8_1_6,MAASQ9_1_6,MAASQ10_1_6,MAASQ11_1_6,MAASQ12_1_6,MAASQ13_1_6,MAASQ14_1_6,MAASQ15_1_6,SPANEQ1_1_5,SPANEQ2_1_5,SPANEQ3_1_5,SPANEQ4_1_5,SPANEQ5_1_5,SPANEQ6_1_5,SPANEQ7_1_5,SPANEQ8_1_5,SPANEQ9_1_5,SPANEQ10_1_5,SPANEQ11_1_5,SPANEQ12_1_5,PWBQ1_1_7,PWBQ2_1_7,PWBQ3_1_7,PWBQ4_1_7,PWBQ5_1_7,PWBQ6_1_7,PWBQ7_1_7,PWBQ8_1_7,PSTQ1_0_1,PSTQ2_0_1,PSTQ3_0_1,PSTQ4_0_1,PSTQ5_0_1,PSTQ6_0_1,PSTQ7_0_1,PSTQ8_0_1,PSTQ9_0_1,PSTQ10_0_1,PSTQ11_0_1,PSTQ12_0_1,PSTQ13_0_1,PSTQ14_0_1,PSTQ15_0_1,PSTQ16_0_1,PSTQ17_0_1,PSTQ18_0_1,PSTQ19_0_1,PSTQ20_0_1,PSTQ21_0_1,PSTQ22_0_1,SEQ1_1_4,SEQ2_1_4,SEQ3_1_4,SEQ4_1_4,SEQ5_1_4,SEQ6_1_4,SEQ7_1_4,SEQ8_1_4,SEQ9_1_4,SEQ10_1_4,PPHQ1_1_5,PPHQ2_1_5,PPHQ3_1_5,PPHQ4_1_5,PPHQ5_1_5,PPHQ6_1_5,PPHQ7_1_5,PPRQ1_1_10,PPRQ2_1_10,PPRQ3_1_10,PPOQ1_1_7,Age,Gender_0_1,Occupation_0_1,Living_1_4,t,Experiment_1_2
152,136,Somewhat frequently,Almost never,Somewhat infrequently,Somewhat frequently,Almost always,Almost always,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Very frequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Often,Rarely,Sometimes,Rarely,Sometimes,Very rarely or never,Sometimes,Very rarely or never,Often,Sometimes,Very rarely or never,Sometimes,Strongly agree,Agree,Mixed or neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Exactly true,Exactly true,Hardly true,Rather true,Rather true,Rather true,Exactly true,Hardly true,Hardly true,Not true,Most of the time,Some of the time,Some of the time,Some of the time,Some of the time,Most of the time,None of the time,9,9,8,You were a little better than other workers,44,1,2,4,0,2
153,136,Somewhat frequently,Very frequently,Very frequently,Very frequently,Very frequently,Almost always,Very frequently,Very frequently,Somewhat frequently,Somewhat frequently,Very frequently,Somewhat frequently,Somewhat frequently,Very frequently,Somewhat frequently,Often,Rarely,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Very rarely or never,Sometimes,Strongly agree,Strongly agree,Mixed or neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Rather true,Rather true,Rather true,Exactly true,Rather true,Exactly true,Rather true,Exactly true,Hardly true,Most of the time,Some of the time,None of the time,Most of the time,A little of the time,Most of the time,Some of the time,7,9,9,You were about average,44,1,2,4,1,2
154,52,Very frequently,Almost always,Somewhat frequently,Very frequently,Somewhat frequently,Very frequently,Somewhat frequently,Very frequently,Somewhat frequently,Almost always,Somewhat frequently,Very frequently,Almost always,Very frequently,Somewhat frequently,Often,Often,Very often or always,Often,Very often or always,Often,Very often or always,Often,Often,Very often or always,Sometimes,Very often or always,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Agree,Strongly agree,Agree,Strongly agree,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Exactly true,Exactly true,Hardly true,Exactly true,Exactly true,Exactly true,Exactly true,Rather true,Exactly true,Exactly true,All of the time,Some of the time,A little of the time,Most of the time,Most of the time,A little of the time,A little of the time,10,10,10,You were a lot better than other workers,21,1,1,4,0,2
156,108,Very infrequently,Almost never,Very infrequently,Somewhat frequently,Almost never,Very infrequently,Very infrequently,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Very frequently,Somewhat frequently,Somewhat frequently,Almost never,Very often or always,Often,Often,Often,Often,Sometimes,Very often or always,Often,Often,Very often or always,Often,Very often or always,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Exactly true,Exactly true,Rather true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Rather true,Some of the time,Some of the time,Some of the time,A little of the time,Some of the time,A little of the time,A little of the time,6,6,6,You were a little better than other workers,44,1,2,3,0,2
157,108,Somewhat infrequently,Almost never,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Almost never,Somewhat frequently,Very infrequently,Somewhat infrequently,Very infrequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Almost never,Very often or always,Often,Often,Sometimes,Often,Often,Very often or always,Often,Often,Often,Often,Often,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Exactly true,Exactly true,Rather true,Rather true,Rather true,Exactly true,Exactly true,Exactly true,Rather true,Some of the time,Some of the time,Some of the time,A little of the time,A little of the time,A little of the time,None of the time,7,8,7,You were about average,44,1,2,3,1,2
158,77,Almost always,Almost never,Almost never,Somewhat frequently,Very frequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Very infrequently,Very infrequently,Somewhat infrequently,Almost never,Somewhat frequently,Somewhat frequently,Almost never,Very often or always,Sometimes,Very often or always,Often,Often,Sometimes,Very often or always,Rarely,Rarely,Sometimes,Very often or always,Often,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Rather true,Rather true,Exactly true,Rather true,Exactly true,Exactly true,Exactly true,Exactly true,Rather true,Rather true,Most of the time,A little of the time,A little of the time,None of the time,A little of the time,A little of the time,Some of the time,4,7,7,You were somewhat better than other workers,30,2,2,1,0,2
159,59,Almost never,Somewhat frequently,Very infrequently,Very infrequently,Almost never,Almost never,Almost never,Somewhat frequently,Almost never,Very infrequently,Somewhat infrequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Very infrequently,Often,Often,Sometimes,Often,Often,Often,Often,Sometimes,Sometimes,Often,Often,Often,Agree,Strongly agree,Agree,Mixed or neither agree nor disagree,Agree,Strongly agree,Agree,Agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Some of the time,A little of the time,A little of the time,A little of the time,A little of the time,A little of the time,Some of the time,8,9,9,You were somewhat better than other workers,28,2,1,4,0,2
162,19,Somewhat frequently,Almost never,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Very infrequently,Somewhat frequently,Very infrequently,Very infrequently,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Sometimes,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Slightly disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Rather true,Rather true,Rather true,Rather true,Hardly true,Hardly true,Rather true,Rather true,Hardly true,Rather true,Most of the time,A little of the time,A little of the time,A little of the time,A little of the time,A little of the time,A little of the time,4,8,8,You were a little better than other workers,34,1,1,3,0,2
163,133,Somewhat infrequently,Somewhat frequently,Very frequently,Very frequently,Very frequently,Almost always,Very frequently,Very frequently,Very frequently,Somewhat frequently,Very infrequently,Almost never,Almost always,Almost always,Very frequently,Sometimes,Rarely,Often,Sometimes,Often,Often,Often,Sometimes,Very rarely or never,Often,Rarely,Sometimes,Slightly agree,Strongly agree,Slightly agree,Agree,Slightly agree,Strongly agree,Agree,Slightly agree,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Exactly true,Exactly true,Not true,Rather true,Rather true,Hardly true,Rather true,Rather true,Rather true,Hardly true,A little of the time,Most of the time,Some of the time,Some of the time,Some of the time,Most of the time,Some of the time,7,8,6,You were a little better than other workers,32,1,1,3,0,2
164,36,Very infrequently,Very infrequently,Somewhat frequently,Very infrequently,Somewhat frequently,Almost always,Somewhat frequently,Somewhat frequently,Very frequently,Somewhat frequently,Somewhat frequently,Almost never,Somewhat frequently,Somewhat frequently,Very infrequently,Often,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Slightly agree,Agree,Agree,Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Exactly true,Exactly true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,A little of the time,Most of the time,Some of the time,None of the time,None of the time,A little of the time,A little of the time,7,8,4,You were somewhat worse than other workers,30,2,1,4,0,2
165,36,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Almost always,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Very frequently,Very infrequently,Very frequently,Somewhat frequently,Very infrequently,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Slightly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Exactly true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,A little of the time,A little of the time,Some of the time,None of the time,None of the time,Some of the time,None of the time,7,8,7,You were about average,30,2,1,4,1,2
167,50,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Very rarely or never,Agree,Agree,Agree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Agree,Slightly agree,Agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Most of the time,A little of the time,None of the time,A little of the time,None of the time,Most of the time,A little of the time,7,9,9,You were somewhat better than other workers,40,2,2,4,0,2
169,69,Somewhat infrequently,Almost never,Very infrequently,Very frequently,Somewhat frequently,Almost never,Very infrequently,Almost never,Somewhat infrequently,Very infrequently,Almost always,Somewhat frequently,Very infrequently,Very infrequently,Very frequently,Very often or always,Often,Very often or always,Often,Often,Very often or always,Often,Often,Sometimes,Very often or always,Often,Very often or always,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Rather true,Exactly true,Exactly true,Rather true,Exactly true,Exactly true,Exactly true,Rather true,Exactly true,Exactly true,Most of the time,A little of the time,Most of the time,Most of the time,A little of the time,Most of the time,A little of the time,9,9,8,You were a little better than other workers,30,1,2,3,0,2
172,124,Somewhat frequently,Very infrequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Somewhat frequently,Very frequently,Very frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Very frequently,Somewhat frequently,Somewhat frequently,Very often or always,Often,Very often or always,Often,Very often or always,Often,Very often or always,Very often or always,Often,Very often or always,Often,Often,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Rather true,Rather true,Exactly true,Rather true,Rather true,Rather true,Exactly true,Exactly true,Rather true,Rather true,Most of the time,A little of the time,A little of the time,A little of the time,A little of the time,A little of the time,A little of the time,9,9,9,You were somewhat better than other workers,34,1,1,2,1,2
173,39,Very frequently,Somewhat frequently,Almost always,Almost always,Almost always,Somewhat frequently,Very frequently,Very infrequently,Very infrequently,Very infrequently,Almost always,Almost always,Somewhat frequently,Somewhat frequently,Almost always,Very often or always,Very rarely or never,Sometimes,Rarely,Sometimes,Sometimes,Often,Very rarely or never,Rarely,Rarely,Rarely,Sometimes,Slightly agree,Strongly agree,Agree,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Slightly agree,Agree,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Hardly true,Rather true,Hardly true,Rather true,Rather true,Rather true,Exactly true,Rather true,Hardly true,Hardly true,Some of the time,Most of the time,All of the time,Some of the time,All of the time,All of the time,A little of the time,9,6,4,You were a lot worse than other workers,27,1,1,4,0,2
174,39,Somewhat frequently,Somewhat frequently,Very frequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Almost never,Somewhat infrequently,Very infrequently,Very frequently,Almost never,Somewhat frequently,Somewhat frequently,Somewhat frequently,Sometimes,Sometimes,Often,Often,Often,Rarely,Often,Rarely,Often,Rarely,Sometimes,Often,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Agree,Slightly agree,Agree,Agree,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rather true,Rather true,Rather true,Not true,Rather true,Hardly true,Exactly true,Rather true,Rather true,Rather true,A little of the time,Most of the time,Most of the time,Most of the time,None of the time,All of the time,Some of the time,8,7,5,You were somewhat worse than other workers,27,1,1,4,1,2
176,84,Very infrequently,Almost never,Somewhat frequently,Somewhat frequently,Somewhat frequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Almost never,Very frequently,Somewhat frequently,Almost never,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,Often,Rarely,Rarely,Very often or always,Often,Agree,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Agree,Agree,Agree,Agree,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Exactly true,Exactly true,Exactly true,Rather true,Rather true,Rather true,Rather true,Exactly true,Exactly true,Exactly true,Most of the time,A little of the time,A little of the time,Most of the time,A little of the time,Some of the time,None of the time,7,9,8,You were a little better than other workers,36,1,2,4,0,2
178,107,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Almost always,Somewhat frequently,Almost always,Somewhat infrequently,Somewhat infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Rarely,Rarely,Sometimes,Often,Sometimes,Agree,Agree,Slightly agree,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Slightly agree,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Rather true,Rather true,Hardly true,Hardly true,Rather true,Rather true,Hardly true,Rather true,Rather true,Rather true,Some of the time,Some of the time,Most of the time,A little of the time,A little of the time,Some of the time,None of the time,7,8,4,You were about average,23,2,1,4,0,2
180,11,Somewhat infrequently,Very infrequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Very infrequently,Very frequently,Very frequently,Almost always,Almost always,Very frequently,Very infrequently,Almost always,Very frequently,Somewhat infrequently,Sometimes,Rarely,Sometimes,Rarely,Often,Very rarely or never,Often,Rarely,Very rarely or never,Sometimes,Often,Often,Agree,Strongly agree,Slightly agree,Agree,Mixed or neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Hardly true,Hardly true,Hardly true,Hardly true,Not true,Hardly true,Rather true,Rather true,Hardly true,Rather true,None of the time,All of the time,A little of the time,A little of the time,None of the time,None of the time,Some of the time,9,5,3,You were a lot worse than other workers,26,2,2,3,0,2
182,113,Almost never,Very infrequently,Almost never,Almost never,Almost never,Somewhat infrequently,Very infrequently,Very infrequently,Very infrequently,Almost never,Somewhat infrequently,Almost never,Almost never,Almost never,Almost never,Very often or always,Very often or always,Very often or always,Very often or always,Very often or always,Very often or always,Very often or always,Very often or always,Often,Very often or always,Very often or always,Very often or always,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Exactly true,Exactly true,Rather true,Exactly true,Exactly true,Exactly true,Exactly true,Rather true,Exactly true,Rather true,Most of the time,Some of the time,None of the time,A little of the time,A little of the time,None of the time,None of the time,8,8,8,You were a little better than other workers,34,1,1,4,1,2
183,66,Very infrequently,Somewhat infrequently,Somewhat frequently,Very frequently,Very infrequently,Very frequently,Somewhat frequently,Very frequently,Somewhat frequently,Somewhat infrequently,Almost always,Very frequently,Very frequently,Somewhat infrequently,Almost never,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Very often or always,Rarely,Sometimes,Very rarely or never,Slightly agree,Disagree,Mixed or neither agree nor disagree,Agree,Agree,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Rather true,Rather true,Rather true,Hardly true,Rather true,Rather true,Hardly true,Rather true,Hardly true,Hardly true,Some of the time,A little of the time,A little of the time,A little of the time,None of the time,A little of the time,Some of the time,6,8,9,You were a little better than other workers,55,2,2,3,0,2
184,27,Somewhat frequently,Almost never,Somewhat frequently,Somewhat infrequently,Very frequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Somewhat infrequently,Very frequently,Almost never,Somewhat frequently,Somewhat infrequently,Almost never,Sometimes,Sometimes,Often,Often,Often,Often,Sometimes,Sometimes,Often,Rarely,Sometimes,Sometimes,Slightly agree,Strongly agree,Agree,Agree,Agree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Slightly agree,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Rather true,Rather true,Hardly true,Rather true,Rather true,Hardly true,Not true,Not true,Not true,Not true,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,A little of the time,8,6,6,You were about average,30,1,2,3,0,2
185,55,Somewhat frequently,Somewhat infrequently,Very frequently,Very frequently,Somewhat frequently,Somewhat frequently,Almost always,Almost always,Very frequently,Almost always,Very frequently,Somewhat frequently,Very frequently,Very frequently,Somewhat frequently,Sometimes,Rarely,Sometimes,Rarely,Often,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Slightly disagree,Slightly disagree,Disagree,Mixed or neither agree nor disagree,Slightly agree,Mixed or neither agree nor disagree,Slightly disagree,Disagree,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Exactly true,Rather true,Rather true,Exactly true,Rather true,Rather true,Rather true,Rather true,Rather true,Exactly true,A little of the time,Some of the time,Most of the time,Most of the time,Some of the time,Most of the time,Some of the time,7,7,7,You were a little better than other workers,28,2,1,1,0,2
186,55,Very frequently,Very infrequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Very infrequently,Somewhat frequently,Very frequently,Very frequently,Somewhat frequently,Somewhat infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Often,Rarely,Often,Sometimes,Often,Rarely,Often,Rarely,Often,Often,Rarely,Sometimes,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Exactly true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Some of the time,Some of the time,Most of the time,Most of the time,Some of the time,Most of the time,Some of the time,9,6,7,You were about average,28,2,1,1,1,2
187,111,Very infrequently,Somewhat infrequently,Very frequently,Very infrequently,Very infrequently,Very frequently,Very frequently,Somewhat infrequently,Very infrequently,Very infrequently,Somewhat frequently,Somewhat infrequently,Very frequently,Very frequently,Very infrequently,Often,Sometimes,Very often or always,Often,Often,Rarely,Often,Often,Sometimes,Often,Very often or always,Sometimes,Agree,Mixed or neither agree nor disagree,Agree,Mixed or neither agree nor disagree,Slightly agree,Agree,Agree,Mixed or neither agree nor disagree,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Rather true,Rather true,Hardly true,Hardly true,Rather true,Hardly true,Rather true,Rather true,Rather true,Rather true,Most of the time,Some of the time,A little of the time,Some of the time,Some of the time,A little of the time,Most of the time,8,7,8,You were a little better than other workers,25,2,1,1,0,2
189,9,Very infrequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Very frequently,Somewhat frequently,Somewhat frequently,Very often or always,Sometimes,Very often or always,Often,Very often or always,Often,Very often or always,Sometimes,Often,Very often or always,Often,Very often or always,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Rather true,Some of the time,None of the time,A little of the time,A little of the time,A little of the time,Some of the time,None of the time,7,9,8,You were somewhat better than other workers,51,1,2,3,1,2
190,80,Somewhat frequently,Very infrequently,Very frequently,Very frequently,Very infrequently,Almost always,Very frequently,Somewhat frequently,Somewhat infrequently,Very frequently,Almost always,Almost never,Somewhat frequently,Somewhat frequently,Almost never,Sometimes,Often,Often,Often,Sometimes,Rarely,Sometimes,Sometimes,Often,Sometimes,Very often or always,Sometimes,Slightly agree,Agree,Slightly disagree,Strongly agree,Slightly agree,Agree,Agree,Slightly agree,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Rather true,Rather true,Hardly true,Not true,Hardly true,Hardly true,Rather true,Exactly true,Hardly true,Rather true,Most of the time,A little of the time,None of the time,A little of the time,Some of the time,Some of the time,A little of the time,7,7,8,You were about average,27,1,2,3,0,2
191,80,Somewhat infrequently,Very infrequently,Somewhat frequently,Somewhat frequently,Very infrequently,Very frequently,Somewhat frequently,Somewhat frequently,Very infrequently,Somewhat frequently,Very frequently,Almost never,Very infrequently,Somewhat infrequently,Almost never,Often,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Very often or always,Sometimes,Very often or always,Sometimes,Slightly agree,Strongly agree,Slightly agree,Agree,Agree,Agree,Strongly agree,Agree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Rather true,Rather true,Rather true,Rather true,Hardly true,Exactly true,Rather true,Rather true,Hardly true,Most of the time,A little of the time,Some of the time,A little of the time,None of the time,A little of the time,Some of the time,7,8,7,You were somewhat better than other workers,27,1,2,3,1,2
192,138,Somewhat infrequently,Almost never,Almost never,Very infrequently,Somewhat infrequently,Almost always,Very infrequently,Very infrequently,Very infrequently,Almost never,Very infrequently,Almost never,Very infrequently,Almost never,Almost never,Often,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Rarely,Sometimes,Sometimes,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Exactly true,Exactly true,Rather true,Rather true,Exactly true,Rather true,Exactly true,Exactly true,Exactly true,Exactly true,Most of the time,A little of the time,A little of the time,A little of the time,A little of the time,A little of the time,Some of the time,8,9,9,You were somewhat better than other workers,39,1,2,3,0,2
195,33,Very infrequently,Very infrequently,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Almost never,Very infrequently,Somewhat infrequently,Almost never,Almost never,Somewhat frequently,Almost never,Very infrequently,Very infrequently,Almost never,Often,Sometimes,Sometimes,Sometimes,Often,Very often or always,Sometimes,Often,Very often or always,Sometimes,Often,Sometimes,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Rather true,Rather true,Rather true,Rather true,Exactly true,Rather true,Rather true,Rather true,Rather true,Rather true,Some of the time,A little of the time,None of the time,Some of the time,A little of the time,A little of the time,None of the time,8,9,8,You were a little better than other workers,53,1,2,4,0,2
